20:44:17:755 [ALWAYS]	GUDE Logging Started
20:44:17:755 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:44:17:755 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:44:17:755 [ERROR]	Initialize resume cache pointer failure
20:44:17:755 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:44:17:755 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:44:18:945 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:44:18:946 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:44:18:946 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:44:18:946 [ERROR]	Initialize resume cache pointer failure
20:44:18:946 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:44:18:946 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
